Utterance_ID,Text,Emotion
Ses05M_impro07_M044,because youre doing something you love thats the kind of busy you want i want to be able to do that for the rest of my life be that kind of busy,hap
Ses05M_impro07_F044,all right wow so exciting,hap
Ses05M_impro07_M045,i had to tell you right away i knew youd be excited,hap
Ses05M_impro07_M046,well have fun,hap
Ses05M_impro07_F045,yeah well have so much fun,hap
Ses05M_impro07_M047,great okay,hap
Ses05F_impro08_F000,hi sir how can i help you,neu
Ses05F_impro08_F001,okay,neu
Ses05F_impro08_F002,laughter all right im sorry sir that youve been having a hard time,neu
Ses05F_impro08_M004,this is ridiculous i i seriously i dont understand why you think these automated systems are supposed to like work for anybody they have never ever work for me,ang
Ses05F_impro08_F003,i kwon it is ridiculous,neu
Ses05F_impro08_F004,yeah i understand,neu
Ses05F_impro08_M005,can you like talk to somebody about this can you like can you tell them that this is ridiculous and can they change it from now on is there a phone number you have that i can call that will like automatically be talking to somebody a human being,ang
Ses05F_impro08_F005,uh whens whens,neu
Ses05F_impro08_F007,if yeah well if you just slow down well um well definitely have your problem solved and after we have your problem solved then i can transfer you to a manager someone who can you know you can voice your complaint to who will be able to something about it,neu
Ses05F_impro08_M007,like i know i paid last month but it hasnt been paid and you charged me a late fee,ang
Ses05F_impro08_F008,okay so where okay all right so where did you uh locate your your bill,neu
Ses05F_impro08_F009,in the mail,neu
Ses05F_impro08_F010,so is it is is it at all possible that maybe this statement is just old and that the transaction hadnt been processed yet,neu
Ses05F_impro08_F011,okay,neu
Ses05F_impro08_F012,okay,neu
Ses05F_impro08_F014,okay so ill just look it up and you know see whats going on maybe we can,neu
Ses05F_impro08_F015,if i call it up on the screen,neu
Ses05F_impro08_M013,okay great go ahead,neu
Ses05F_impro08_F016,so in the database it looks as though um there is a there is like a glitch in the transaction where it hadnt gone through before but i do see that you paid the what can you tell me the amount what was the amount,neu
Ses05F_impro08_F017,okay i do see that on here and it says that um it had some trouble clearing for some reason and i think that was the problem on our end so um,neu
Ses05F_impro08_F018,well you know sometimes just with online transactions things happens so um,neu
Ses05F_impro08_M016,no no no i am grateful,neu
Ses05F_impro08_F019,yeah we somebody went in and and cleared the problem and it looks like youre all paid,neu
Ses05F_impro08_M018,did they take,neu
Ses05F_impro08_F020,you do the direct the direct it um its taking right out of your bank account correct,neu
Ses05F_impro08_M019,yes yes exactly,neu
Ses05F_impro08_F021,yeah so that that did go through,neu
Ses05F_impro08_M020,are you taking the late fee off of my account then,neu
Ses05F_impro08_F022,um i can try to do that for you certainly,neu
Ses05F_impro08_F023,right right and sinceyeah since it was just a computer glitch then thats that should be cleared up as well so im going to go ahead and try and put that into the computer and if for some reason you notice on your statement in a few days that youve been charged and an overdue fee then you should just call back and well have that,neu
Ses05F_impro08_M022,right,neu
Ses05F_impro08_F024,well ill give you my direct line and my number so you can you can get directly to me,neu
Ses05F_impro08_F025,yeah,neu
Ses05F_impro08_M025,that would be wonderful that would be great seriously,hap
Ses05F_impro08_F026,no problem,neu
Ses05F_impro08_M026,thank you whats the number,hap
Ses05F_impro08_F027,ahh one eight hundred three two three,neu
Ses05F_impro08_M027,three two three,neu
Ses05F_impro08_F028,six four nine four,neu
Ses05F_impro08_M028,six four nine four that would be so great thank you so much,hap
Ses05F_impro08_F029,youre welcome,neu
Ses05F_impro08_F030,im sorry that it was an inconvenience,neu
Ses05F_impro08_M030,it was horrible but youve made it much better thank you very much absolutely,hap
Ses05F_impro08_F032,have a good day,neu
Ses05F_impro08_M031,you too thank you so much have a wonderful day,hap
Ses05F_impro08_F033,bye bye,neu
Ses05M_impro01_F000,can i help you,neu
Ses05M_impro01_F001,oh this this form that you have is the wrong form you need to go over to the other line on the other side of the dmv,neu
Ses05M_impro01_F002,right but this is the wrong form somebody gave you the wrong form,neu
Ses05M_impro01_F003,yeah so i cant  i cant do anything,neu
Ses05M_impro01_F004,no but this is for um replacements and you need a new  whole new license as a california ,neu
Ses05M_impro01_M005,im not getting a  well you wait in this line and not get an attitude,ang
Ses05M_impro01_F006,no i understand and there are a lot of people here but what im telling you is that its different for different states and since your getting a new license in the state of california  you have to fill out a different form than you did,neu
Ses05M_impro01_F009,i know,neu
Ses05M_impro01_F012,yeah i know its gonna take a minute but you so you might as well get started now,neu
Ses05M_impro01_M015,wouldnt you oh come on you just tell me you would make an exception for me,ang
Ses05M_impro01_F021,im gonna im gonna bring security over and have them escort you out,ang
Ses05M_impro01_F023,well thats unfortunate sir youre gonna have to go stand in the other line now,ang
Ses05F_script02_1_M000,what time is it isnt it supposed to start running around midnight this is great isnt it look at this great night we got here couldnt be better,hap
Ses05F_script02_1_M001,actually i was hoping to go a little bit further up the coast to get away from the lights and the people but i was afraid i will miss it how are you doing,hap
Ses05F_script02_1_F000,fine,neu
Ses05F_script02_1_M002,is thatno no no is that foam i cant even tell although if i if i cant tell it probably isnt it right itll probably be unmistakable but dont you think how you doing,hap
Ses05F_script02_1_M003,oh no you know what i did i forgot my flashlight how could i be so stupid i cant believe i forgot my flashlight,hap
Ses05F_script02_1_F001,what flashlight,neu
Ses05F_script02_1_F005,yes,neu
Ses05F_script02_1_M009,are you cold you want my jacket we should have bought a blanket our blanket this is great isnt it,hap
Ses05F_script02_1_M010,i didnt even think to bring a sixpack a sixpack would be just the thing right about now i cant believe i forgot and look at kid i am surprise i make it out of the house about flies it,hap
Ses05F_script02_1_M011,laughter i wonder if they can hear me talk or if they can feel the vibration in the sand when we are moving around,hap
Ses05F_script02_1_M012,you want my jacket,hap
Ses05F_script02_1_F007,its after eleven lets go home,neu
Ses05F_script02_1_M014,right,hap
Ses05F_script02_1_F011,not particularly,neu
Ses05F_script02_1_F012,i just dont,neu
Ses05F_script02_1_M018,honey this is a natural phenomenon i mean it happens like once a year its a great opportunity,hap
Ses05F_script02_1_M019,think about people in kansas they have to get a a plane reservation and a hotel reservation just to see this uh but we are just forty minutes away too good to pass up,hap
Ses05F_script02_1_M020,yeah but that moment on the beach is the highlight of their little lives all that flopping around is laying eggs or what you mating or spawning or something like that,hap
Ses05F_script02_1_M021,this is a big night for these guys lifes last orgy yeah,hap
Ses05F_script02_1_M023,okay but they are fish that do something that no other fish do like the swallows returning to capistrano or the lemmings jumping off a cliff you know like that,hap
Ses05F_script02_1_M024,theres theres mystery here and magic a little bit of the unexplainable i cant understand how you could not be interested,hap
Ses05F_script02_1_F015,i am just not,neu
Ses05F_script02_1_F016,yes,neu
Ses05F_script02_1_M029,look there whats that is it is that aah its a seaweed isnt it,hap
Ses05F_script02_1_M030,oh this is great i wouldnt miss this for the world i mean think about this i know you are not interested but think about this for a second,hap
Ses05F_script02_1_M031,somewhere out there is a giant mass of silver fish all swimming in this direction they dont know why and we dont know why they didnt get an invitation and it wasnt a vote it wasnt a decision and nobody sent them a map or anything like that,hap
Ses05F_script02_1_M032,its just some little instinctual timerelease firecracker that went off inside them and all this one they turn around and form a line as long as the california coast and just started swimming,hap
Ses05F_script02_1_M033,they are swimming right now as if its the only thing that matters its its single mindedness with no mind urgency thats pure urge its they dont know what drives them they they dont give any name or ask any question they just turn as one and started to swim to the very point we are standing right now for a massive celebration of sex and death god its giving me goose bumps all over my hairs on my arm popping up,hap
Ses05F_script02_1_M034,well so what do you think,hap
Ses05F_script02_2_M000,well so what do you think,hap
Ses05F_script02_2_M002,it certainly is not its slightly exaggerated scientific fact,neu
Ses05F_script02_2_M003,i am not the only one look at all these people,neu
Ses05F_script02_2_M005,carla can i ask you a question now dont be upset are you having a period,neu
Ses05F_script02_2_F005,god damn it augie why do you always ask things like that its so insulting,ang
Ses05F_script02_2_M010,well we will see them this year,neu
Ses05F_script02_2_F013,augie do you remember the first time we came to see it it was about four years ago right after we got married and we thought i was pregnant,sad
Ses05F_script02_2_F014,we had a bottle of champagne but no glasses and you ask me to dance so we took off our shoes and while we were dancing you said the most intimate things right in my ears so i could feel them as much as hear them,sad
Ses05F_script02_2_F015,and i remember thinking finally finally i am as happy as i am supposed to be,hap
Ses05F_script02_2_M016,wait a minute i got it,neu
Ses05F_script02_2_F016,dancing barefoot in the sand drinking champagne from the bottle,sad
Ses05F_script02_2_F017,i rather not remember some things i rather not hope for some things,sad
Ses05F_script02_2_M018,okay all right i got it you wanted it to be like the other time okay no problem listen you want to dance,hap
Ses05F_script02_2_F018,no,sad
Ses05F_script02_2_M019,you want me to go get some champagne,hap
Ses05F_script02_2_F019,no,sad
Ses05F_script02_2_M020,take off our shoes,hap
Ses05F_script02_2_M025,what welcome to the human race,ang
Ses05F_script02_2_F025,this what what is this this isnt even anything,sad
Ses05F_script02_2_F026,sure this is standing this is waiting this is fighting,sad
Ses05F_script02_2_F027,but this isnt anything like i thought it would be,sad
Ses05F_script02_2_M031,no i know me either,sad
Ses05F_script02_2_F028,i mean it is just this  i mean it includes a lot and everything and you know its the sand and its the full moon and i justi am sorry but i couldnt help wishing i was somewhere else,sad
Ses05F_script02_2_M032,maybe if you are with somebody else too,sad
Ses05F_script02_2_F029,i didnt say that,sad
Ses05F_script02_2_M033,no i know but i know i dont make you happy,sad
Ses05F_script02_2_F030,for heavens sake augie wherever i am i always wanted to be with you,sad
Ses05F_script02_2_F032,whatever i am doing i wanted to be with you i mean you are probably the one who wishes you were with somebody else somebody who didnt take everything so hard and who knows how to enjoy herself,sad
Ses05F_script02_2_M035,actually now that you mention it no i dont,hap
Ses05F_script02_2_F033,good so maybe we are on the wrong spot but we are with the right person,hap
Ses05F_script02_2_M036,i dont know seems like a pretty good spot to me i mean look at the view of the moon you got from here,hap
Ses05F_script02_2_F034,yes i did notice that it does look really beautiful on the water the gold white moon,hap
Ses05F_script02_2_M037,well look what we have got here,hap
Ses05F_script02_2_F037,no i am beginning to think that maybe this is the spot after all,hap
Ses05F_script02_2_M040,shh if were very quiet the fish might come,hap
Ses05F_script02_2_M041,or not,hap
Ses05F_script03_1_M000,good god,hap
Ses05F_script03_1_M001,i wonder,hap
Ses05F_script03_1_M005,hello hello what wrong number,hap
Ses05F_script03_1_F005,oh it sent shivers up my spine,hap
Ses05F_script03_1_F006,behave exquisitely,hap
Ses05F_script03_1_M007,with the most perfect poise,hap
Ses05F_script03_1_F007,yes i shall probably do a court curtsey,hap
Ses05F_script03_1_F010,the whole business is really rather ridiculous,neu
Ses05F_script03_1_F011,meaning exactly that,neu
Ses05F_script03_1_M011,what does it all mean thats what i asked myself in my ceaseless quest for ultimate truth dear god what does it all mean,hap
Ses05F_script03_1_F013,whos they,neu
Ses05F_script03_1_M013,all the futile mortals who try to make life unbearable laugh at them be flippant laugh at everything all their sacred shibboleths flippancy brings out the acid in their damned sweetness and light,hap
Ses05F_script03_1_M014,certainly you must were figures of fun alright laughter,hap
Ses05F_script03_1_F015,well what ifwhat happens when our love,neu
Ses05F_script03_1_M015,who knows,hap
Ses05F_script03_1_M016,no that fire will fade along with our passion,hap
Ses05F_script03_1_M017,it all depends on how well we played,hap
Ses05F_script03_1_F019,well what if one of us dies does the other laugh then,neu
Ses05F_script03_1_M018,yes yes with all his might,hap
Ses05F_script03_1_M019,no no it isnt death is very laughable come such a cunning little mystery all done with mirrors,hap
Ses05F_script03_1_M020,no so is everyone else in the long run lets be superficial and pity the poor philosophers lets blow trumpets and squeakers and ,hap
Ses05F_script03_1_M021,enjoy the party as long as we can like very little quite idiotic schoolchildren garbage lets savor the delight of the moment,hap
Ses05F_script03_1_M022,darling come here and kiss me before your body rots and worms pop in and out of your eye sockets,hap
Ses05F_script03_1_M024,do you remember that awful scene we had in venice,hap
Ses05F_script03_1_M025,the one where you bought that little painted wooden snake and put it on my bed,hap
Ses05F_script03_1_F025,charles that was his name he did wriggle so beautifully,hap
Ses05F_script03_1_M026,horrible thing i hate it,hap
Ses05F_script03_1_M027,how long did that row last,hap
Ses05F_script03_1_M028,the worst one was in cannes when your curling irons burnt a hole in my new dressing gown,hap
Ses05F_script03_1_M029,oh that was quite a rouser wasnt it,hap
Ses05F_script03_1_M030,oh i didnt hit you very hard,neu
Ses05F_script03_1_F030,and then the manager came in and found us rolling around on the floor biting and scratching like panthers,hap
Ses05F_script03_1_M031,laughter i shall never forget his face,hap
Ses05F_script03_1_F031,oh ridiculous utterly ridiculous,hap
Ses05F_script03_1_M032,oh we were very much younger then,hap
Ses05F_script03_1_M033,oh as a matter of fact the real cause of that row was peter burden,hap
Ses05F_script03_1_F033,you knew there was nothing,neu
Ses05M_impro05_M000,hi um my luggage didnt come out of the conveyor thingy,neu
Ses05M_impro05_F000,hmm hmm,neu
Ses05M_impro05_M001,so um what do i do,neu
Ses05M_impro05_F001,how long ago was that,neu
Ses05M_impro05_M002,uh like an hour and a half ago i talked to somebody who was standing out there and they said wait sometimes like random butt pieces come out late,neu
Ses05M_impro05_F002,uhhmm,neu
Ses05M_impro05_M003,and so i waited there but nothing came,neu
Ses05M_impro05_F003,um okay well you can fly file a claim where were you coming from,neu
Ses05M_impro05_M004,i was coming from um the midwest like iowa,neu
Ses05M_impro05_F004,so within the country though umm,neu
Ses05M_impro05_M005,yeah i know i was in the country i mean its not that complicated,neu
Ses05M_impro05_F005,yeah well the chances of it being lost forever you know are slight because   you were in the ,neu
Ses05M_impro05_M006,well i would hope so,neu
Ses05M_impro05_F006,well i mean you know that happens pretty often that sometimes baggage   gets lost,neu
Ses05M_impro05_M007,people lose ,neu
Ses05M_impro05_F007,yeah,neu
Ses05M_impro05_M009,you know this is actually i mean its  its a really important piece of luggage,neu
Ses05M_impro05_F008,okay,neu
Ses05M_impro05_M010,i mean its not big or anything like that i mean its not worth a lot of money or anything,neu
Ses05M_impro05_F009,did you have insurance on your flight,neu
Ses05M_impro05_F010,no you have to buy it now its like thirty dollar extra,neu
Ses05M_impro05_F011,well its something that worth,neu
Ses05M_impro05_F012,yeah i dont know,neu
Ses05M_impro05_F013,chances are its probably just you know  taking time being um unloaded from the airplane,neu
Ses05M_impro05_F014,um well theres not much i can do i can you can file this report and well call you when it comes in,neu
Ses05M_impro05_F015,wow,neu
Ses05M_impro05_F016,wow well thats really important obviously but um ,neu
Ses05M_impro05_F017,uh actually i dont know that thats legal um it is the issue,neu
Ses05M_impro05_F018,yeah i mean your bag might have been confiscated because its ,neu
Ses05M_impro05_F019, its a biohazard so um,neu
Ses05M_impro05_F020,yeah let me just call security,neu
Ses05M_impro05_F021,laughter okay hold on,neu
Ses05M_impro05_M022,thank you,neu
Ses05M_impro02_M000,sweetheart ive got to tell you something i just got a call im going to iraq,sad
Ses05M_impro02_M001,i know its really crappy timing but i dont have a choice,sad
Ses05M_impro02_M007,i dont have a choice i have to go if i dont go theyll come and take me,sad
Ses05M_impro02_M010,i know,sad
Ses05M_impro02_M011,i dont want to  the kids youve got to take care of them youve got youve got to,sad
Ses05M_impro02_M012,tell them about me and show them pictures of me and everything like that because they are not going to see me for such a long time and its such an important time and i just dont want to miss it,sad
Ses05M_impro02_M013,i dont have  i know what are we gonna what are we just run away what can i do where can we go,sad
Ses05M_impro02_F012,what would be the worst that would happen if they found you somewhere else,neu
Ses05M_impro02_F013,well theyre so young,sad
Ses05M_impro02_M018,i know but illill send the pictures all the time and ill write them emails and you can read them the emails that i send them,sad
Ses05M_impro02_M019,im gonna be in bagdad just doing security,sad
Ses05M_impro02_M021,i just want to be honest with you i dont want you to ,sad
Ses05M_impro02_M022,but its gonna be fine im gonna be fine you know im good at this i can do this thats why i trained all this time im good at this okay,sad
Ses05M_impro02_M023,i know i know i know but you know what that doesnt mean its gonna be me does it,sad
Ses05M_impro02_M024,no it doesnt and you cant think like that,sad
Ses05M_impro02_M025,i dont want you to  i know i know you cant worry about me youve got to worry about the kids and youve got to take care of the kids for me okay take care of the kids for me all right,sad
Ses05M_impro02_F020,its just so much,sad
Ses05M_impro02_M027,ill miss you baby,sad
Ses05M_impro02_F021,garbage you have to write me everyday,sad
Ses05M_impro02_M028,all ill write you everyday all the time and ill send you pictures and you send me pictures i know weve got email out there weve got email and i can see stuff and you can send me stuff all the time okay,sad
Ses05M_impro02_M029,yeah yeah yeah,sad
Ses05M_impro02_M030,you you record every second you record every second because i want to see it all okay,hap
Ses05M_impro02_F023,okay,sad
Ses05M_impro02_F024,garbage,sad
Ses05M_script01_1_F000,whats he going to say maybe we should tell him before he sees it,sad
Ses05M_script01_1_F001,when i was the first one up he was still in bed how could he have seen it,sad
Ses05M_script01_1_F004,did you talk to him,sad
Ses05M_script01_1_M004,no i figured it was best to leave him alone,sad
Ses05M_script01_1_F005,he cried hard,sad
Ses05M_script01_1_M011,why should he dream about him walking around looking for him at night do we contradict him do we say straight out that we dont have any hope anymore that we havent had any hope for years now,ang
Ses05M_script01_1_M013,for gods sake three years nobody comes back after three years thats insane,ang
Ses05M_script01_1_F014,the trouble is the god damn newspapers i mean every every week a kid turns up missing like longer than larry,ang
Ses05M_script01_1_M016,you know,neu
Ses05M_script01_1_M017,im going to ask her to marry me,neu
Ses05M_script01_1_F018,well what do you want me to do youre old enough to make to know your own mind,ang
Ses05M_script01_1_M020,oh so it isnt just my business,ang
Ses05M_script01_1_M021,you infuriate me sometimes do you know that god,ang
Ses05M_script01_1_M022,isnt it your business too if dad  if i tell dad and he throws a fit about it i mean you have such a talent for ignoring things,ang
Ses05M_script01_1_F021,i ignore what i got to ignore i mean the girl is larrys girl,ang
Ses05M_script01_1_M023,she is not larrys girl,ang
Ses05M_script01_1_F022,from your fathers point of view hes not dead and shes still his girl now you can go on from there if you know where to go chris but i dont know so what can i do for you,ang
Ses05M_script01_1_F023,well youre a considerate fella theres nothing wrong in that,neu
Ses05M_script01_1_M025,to hell with that,ang
Ses05M_script01_1_F024,have you asked annie yet,neu
Ses05M_script01_1_F025,well what if she feels like your father and how do you know she will marry you,neu
Ses05M_script01_1_F026,well the trouble is you never saw enough women,neu
Ses05M_script01_1_M028,so what im not fast with women,ang
Ses05M_script01_1_M032,ive given it three years of thought i hoped that if id waited dad would have forgotten about it by now and we could have like a normal wedding and everybody happy,ang
Ses05M_script01_1_M033,but if that cant happen ill just have to get out,ang
Ses05M_script01_1_M034,ill get out ill go get married and live someplace else i dont know maybe new york,ang
Ses05M_script01_1_F032,are you crazy,ang
Ses05M_script01_1_M035,i have been a good son for too long a good sucker im through with it,ang
Ses05M_script01_1_M036,yes on this i would,ang
Ses05M_script01_1_M037,well you help me stay here,ang
Ses05M_script01_1_F035,all right but dont think like that because what the hell did we work for chris i mean this whole thing its all for you,ang
Ses05M_script01_1_F036,just dont think that way do you hear me,ang
Ses05F_script01_2_M000,why does that bother you,neu
Ses05F_script01_2_F001,shes been in new york three and a half years why all of the sudden,neu
Ses05F_script01_2_M001,well maybe maybe she just wanted to see her again,neu
Ses05F_script01_2_M002,what did you mean he lived next door to the girl all of his life why wouldnt he want to see her again dont look at me like that he didnt tell me any more than he told you,neu
Ses05F_script01_2_F006,shes not his girl she knows shes not,ang
Ses05F_script01_2_F010,i want you to pretend like hes coming back,ang
Ses05F_script01_2_F011,because if hes not coming back then ill kill myself,ang
Ses05F_script01_2_F012,laugh laugh at me but what happens the night that she goes to sleep in his bed and his memorial breaks in pieces,ang
Ses05F_script01_2_F014,only last week another boy turned up in detroit been missing longer than larry you read it yourself,ang
Ses05F_script01_2_F016,youve got to believe youve got to,sad
Ses05F_script01_2_M016,what do you mean me above all look at you youre shaking,ang
Ses05F_script01_2_F017,i cant help it,ang
Ses05F_script01_2_M017,what have i got to hide what the hell is the matter with you kate,ang
Ses05F_script01_1_F000,whats he going to say maybe we should tell him before he sees it,sad
Ses05F_script01_1_M000,he saw it,sad
Ses05F_script01_1_M001,he was out here when it broke,sad
Ses05F_script01_1_M002,around four this morning and there was a crack and i looked out were standing right there when i cracked,sad
Ses05F_script01_1_M003,i dont know but when it cracked he ran back into the house and start to cry in the kitchen,sad
Ses05F_script01_1_F004,did you talk to him,sad
Ses05F_script01_1_M004,no i figured it was best to leave him alone,sad
Ses05F_script01_1_F005,he cried hard,sad
Ses05F_script01_1_M005,i could hear him right through the floor of my room,sad
Ses05F_script01_1_F006,he is thinking about him again,sad
Ses05F_script01_1_F007,its getting just like after larry died hes having dreams hes walking around at night,sad
Ses05F_script01_1_M006,i guess he is,sad
Ses05F_script01_1_F008,whats the meaning of that,sad
Ses05F_script01_1_M007,i dont know the meaning of it but i know one thing mom did we made a terrible mistake with dad,sad
Ses05F_script01_1_M008,being dishonest with him its the kind of thing that pays off and now its paying off,sad
Ses05F_script01_1_M009,you know that larrys not coming back and i know it so why do we go on letting him think that we believe with him,sad
Ses05F_script01_1_M013,for gods sake mom three years nobody comes back after three years its insane,ang
Ses05F_script01_1_M016,you know why i asked annie here dont you,sad
Ses05F_script01_1_F017,well i got an idea but whats the story,neu
Ses05F_script01_1_M018,im going to ask her to marry me,neu
Ses05F_script01_1_F024,well youre a considerate fellow theres nothing wrong with that,neu
Ses05F_script01_1_M025,to hell with that,ang
Ses05F_script01_1_F025,have you asked annie yet to marry you,neu
Ses05F_script01_1_F026,well how did you know that she will go along with it i mean maybe she feels the same way as your father,neu
Ses05F_script01_1_F027,the trouble is you dont see enough women you never have,neu
Ses05F_script01_1_F028,well i just dont see why it has to be annie,neu
Ses05F_script01_1_F031,you marry his girl and youre pronouncing him dead now whats going to happen to your father do you know i dont,sad
Ses05F_script01_1_F033,what the hell is this,ang
Ses05F_script01_1_F034,are you crazy,ang
Ses05F_script01_1_M035,the business the business it doesnt inspire me,ang
Ses05F_script01_1_F038,all right but dont think like that because i mean what the hell did we do all this for chris the whole business its all for you the whole shooting match is for you,ang
Ses05F_impro02_M000,what is it,neu
Ses05F_impro02_F001,um,sad
Ses05F_impro02_F002,im sorry its just a lot ahh to explain ahh i got a call,sad
Ses05F_impro02_F004,i got a call today,sad
Ses05F_impro02_F005,im going to need to go overseas for a while,sad
Ses05F_impro02_M004,you got called up,ang
Ses05F_impro02_M005,i thought you said this wasnt going to happen for at least a year,ang
Ses05F_impro02_F008,i dont know sigh,sad
Ses05F_impro02_F009,i know i know,sad
Ses05F_impro02_F010,i know well well have to figure all that out i mean i think the armys going to provide childcare and help us out with that um,sad
Ses05F_impro02_M010,where do you have to go where are you going,ang
Ses05F_impro02_F011,iraq,sad
Ses05F_impro02_F012,i think infantry im not sure,sad
Ses05F_impro02_M014,i dont understand why they would just do something like this,ang
Ses05F_impro02_M015,it doesnt make any sense its stupid i told you you shouldnt go in the army,ang
Ses05F_impro02_F021,i dont think theres anything we can do,sad
Ses05F_impro02_M024,ill tell them im sick and that you cant leave something,sad
Ses05F_impro02_M025,its not fair,sad
Ses05F_impro02_F023,i know i know its not fair,sad
Ses05F_impro02_M026,why has to be you theres all those other people somebody else can go instead its not right,sad
Ses05F_impro02_F024,well apparently nobody else can go,sad
Ses05F_impro02_M029,i understand im worried about you i dont know whats going to happen to you,sad
Ses05F_impro02_F027,i know,sad
Ses05F_impro02_F028,i know,sad
Ses05F_impro02_M031,i jus,sad
Ses05F_impro02_F029,well figure something out we just have to  we just have to think about this could any of your family help us,sad
Ses05F_impro02_M032,i dont know,sad
Ses05F_impro02_M033,yeah i guess i dont know what theyre going to say,sad
Ses05F_impro02_M034,yeah well call them well figure something out im sorry im sorry im sorry youre right,sad
Ses05F_impro02_F031,im going to miss their first words,sad
Ses05F_impro02_M035,i know,sad
Ses05F_impro02_F032,youll have to send me pictures and letters everyday,sad
Ses05F_impro02_M036,all the time every day every day they have email over there and stuff like that right i can send you pictures,sad
Ses05F_impro02_F034,yeah as much as i can,sad
Ses05F_impro02_F035,sigh three weeks,sad
Ses05F_impro02_F036,yeah,sad
Ses05F_impro02_F037,yeah,sad
Ses05F_impro02_M041,i love you,sad
Ses05F_impro02_F038,i love you im going to miss you so much sigh,sad
Ses05F_impro06_F000,a good friend of mine passed away the other day,sad
Ses05F_impro06_M001,oh no im so sorry what happened,sad
Ses05F_impro06_F001,oh they had some pretty progressive cancer,sad
Ses05F_impro06_F002,metastasized and it was old and they knew that it wasnt looking good but,sad
Ses05F_impro06_M002,thats the worst im so sorry did you know him well,sad
Ses05F_impro06_F003,yeah we were pretty close,sad
Ses05F_impro06_F004,breathing,sad
Ses05F_impro06_M003,i am so sorry its,sad
Ses05F_impro06_M004,its the worst when they go like that garbage was he young,sad
Ses05F_impro06_F005,kind of,sad
Ses05F_impro06_F006,its hard to watch when its painful for them you know,sad
Ses05F_impro06_M005,absolutely absolutely,sad
Ses05F_impro06_M006,its the think,sad
Ses05F_impro06_F007,i just i dont know,sad
Ses05F_impro06_M007,theres no reason for it,sad
Ses05F_impro06_F008,i know,sad
Ses05F_impro06_F009,and he could of he was pretty awesome,sad
Ses05F_impro06_M008,yeah whatd he do what did they do howd you know him,sad
Ses05F_impro06_F010,uh we grew up together,sad
Ses05F_impro06_M009,yeah,sad
Ses05F_impro06_M010,is he an actor too or,neu
Ses05F_impro06_F011,yeah he kind of did a lot of things but we acted together sometimes,sad
Ses05F_impro06_F012,i feel really bad for his family you know,sad
Ses05F_impro06_M011,yes of course of course,sad
Ses05F_impro06_F013,it must be really really hard to lose a child,sad
Ses05F_impro06_M012,was he very close to his family,neu
Ses05F_impro06_F014,yeah and they were really supportive like through the whole process but,sad
Ses05F_impro06_M013,yeah,neu
Ses05F_impro06_F015,breathing,sad
Ses05F_impro06_F016,i cant imagine what his what his parents are going through,sad
Ses05F_impro06_M014,of course not you have no idea what its like to lose a kid,sad
Ses05F_impro06_F017,yeah im just going to miss him,sad
Ses05F_impro06_F018,thank you,sad
Ses05F_impro06_M017,is there a funeral planned or,neu
Ses05F_impro06_F019,yeah theyre going to do some sort of memorial service or something,sad
Ses05F_impro06_M018,cool well if you want me to go with you i will,neu
Ses05F_impro06_F020,thanks,sad
Ses05F_impro06_M019,no problem,neu
Ses05F_impro06_F021,its really bizarre you know when you know somebody really well and then,sad
Ses05F_impro06_F022,something happens and they die and its like,sad
Ses05F_impro06_F023,really hard to imagine that like youre going to continue to live and that persons just going to have stopped,sad
Ses05F_impro06_M020,right it just doesnt make any sense its not real it doesnt feel real,sad
Ses05F_impro06_M021,yeah,neu
Ses05F_impro06_F024,breathing,sad
Ses05F_impro06_M022,do you know what its going to passeventually i mean itll never pass itll always be there and youll always remember and everything like that but you know itll get easier i guess,neu
Ses05F_impro06_F025,yeah,sad
Ses05F_impro06_M023,thats the best way to put it,neu
Ses05F_impro06_F026,its hard to say goodbye,sad
Ses05F_impro06_M024,absolutely,neu
Ses05F_impro06_F027,breathing,sad
Ses05F_impro06_M025,do you know what if it was me that died id really want you to be crying and being really upset too any way so i think you should definitely do this because its trying what its supposed to be,neu
Ses05F_impro06_F029,yeah yeah,sad
Ses05M_script01_2_M000,why does that bother you,neu
Ses05M_script01_2_M001,well maybe maybe he just wanted to see her again,neu
Ses05M_script01_2_F002,nobody comes seven hundred miles just to see,neu
Ses05M_script01_2_M003,why do you think hes even thinking that,neu
Ses05M_script01_2_F004,hes got that about it,neu
Ses05M_script01_2_F005,whats going on here joe,ang
Ses05M_script01_2_F015,you above all have got to believe,ang
Ses05M_script01_2_M015,whats that suppose to mean me above all look at you youre shaking,ang
Ses05M_script01_2_F017,i cant help it,ang
Ses05M_script01_2_M016,what have i got to hide kate what the hell is the matter with you,ang
Ses05M_impro03_M000,guess what,hap
Ses05M_impro03_F000,what,neu
Ses05M_impro03_M001,i did it i asked her to marry me,hap
Ses05M_impro03_M002,yes i did it,hap
Ses05M_impro03_F002,when,hap
Ses05M_impro03_M003,oh my god it was just last weekend,hap
Ses05M_impro03_F003,oh what how where how did you do it,hap
Ses05M_impro03_M004,shewell she said yes first of all let me say that right off the bat well i would like to assume too but you never know these things right,hap
Ses05M_impro03_F004,okay good i i assumed,hap
Ses05M_impro03_F005,oh,hap
Ses05M_impro03_M006,i did it up at yosemite we went camping right like we usually do you know we go camping up there all the time but um the waterfalls had died down a little bit you know and so uh wei had her climb up,hap
